Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Caroline's Last Day","The Nest > Tonsai Bay > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/111512005/carolines-last-day,2.5,-1,Sport,5.10a,2,70,8.0168,98.8328
"Middle Earth","The First Corridor > Texas Canyon > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/107207325/middle-earth,2.6,-1,Sport,5.9,2,170,34.51328,-118.40175
"Touching the sky","The Headwall > Main Wall > Mount Erie > Northwest Region > Washington",https://www.mountainproject.com/route/112193217/touching-the-sky,3.0,-1,Sport,5.8+,2,110,48.45197,-122.62801
"Freedom Fighter","Main Wall West > Main Wall > Mount Erie > Northwest Region > Washington",https://www.mountainproject.com/route/112193224/freedom-fighter,2.9,-1,Sport,5.9,2,115,48.45197,-122.62805
Lolita,"Pilon De Lolita > Loreto Area > Baja California Sur > Mexico > North America > International",https://www.mountainproject.com/route/114158879/lolita,3.3,-1,Sport,5.8+,5,580,26.01097,-111.34166
"Dixie Crystals","Stone Mountain South Face > Stone Mountain > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/107049632/dixie-crystals,3.2,-1,"Trad, Sport",5.9,4,400,36.3916,-81.0473
"Deserted Cities of the Heart","The Goose > South > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/105748756/deserted-cities-of-the-heart,2.6,-1,Sport,5.9,2,,39.9668,-105.2882
"Galengrat-verschneidung 5c","Galengrat > Furka Pass > Switzerland > Europe > International",https://www.mountainproject.com/route/106284321/galengrat-verschneidung-5c,3.5,-1,"Trad, Sport, Alpine",5.9,9,,46.5904,8.4124
Parle,"Pirates of the Caribbean > Sierra de Toix > Costa Blanca > Spain > Europe > International",https://www.mountainproject.com/route/112808443/parle,3.5,-1,Sport,5.10a,3,,38.62931,0.01995
L'Arête,"A. L’Arête > Palissades de Charlevoix > Quebec City, Charlevoix, Portneuf > Quebec > Canada > North America > International",https://www.mountainproject.com/route/114954150/larete,3.4,-1,Sport,5.7+,4,330,47.89602,-69.99321
"Grieta Larga","La Cocina > Extremita > La Huasteca > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/112554542/grieta-larga,3.5,-1,Sport,5.9,2,98,25.62055,-100.4592
"Brother Mike","The Steeple > Coethedral > Mt. Hood > Oregon",https://www.mountainproject.com/route/107795096/brother-mike,3.1,-1,Sport,5.10-,4,400,45.07842,-122.11838
"Tik sab","Jardins d'ete > Todra Gorge > Morocco > Africa > International",https://www.mountainproject.com/route/114043059/tik-sab,3.5,-1,Sport,5.9,4,400,31.5869,-5.5911
"Pancake Butt Dumpster Slut","Stewart Peak > Stewart Pocket > Central Arizona > Arizona",https://www.mountainproject.com/route/113109969/pancake-butt-dumpster-slut,3.2,-1,Sport,5.8,2,145,34.21851,-111.26871
"Equinox, direct","Clock Tower > South Comb > The Honeycombs > Southwest Oregon > Oregon",https://www.mountainproject.com/route/115651900/equinox-direct,3.2,-1,Sport,5.10a,2,115,43.32614,-122.95688
"2 Hour 2 Tecate Challenge","Cracked Wall > Bishop Peak > San Luis Obispo > Central Coast > California",https://www.mountainproject.com/route/107034500/2-hour-2-tecate-challenge,2.5,-1,"Trad, Sport",5.9,9,800,35.30227,-120.69427
Tomahawk,"E: Apache > 1: South, Climber's Left of Stairs > EM: Robinson Bluff > Missouri",https://www.mountainproject.com/route/118218472/tomahawk,3.3,-1,Sport,5.8+,2,98,38.01051,-90.62868
Nellie,"Left Teta > Cerro Las Tetas (Cayey) > Puerto Rico > North America > International",https://www.mountainproject.com/route/116698719/nellie,3.4,-1,Sport,5.9,2,150,18.09261,-66.23084
"Charles Wallace the Party Rabbit","Ojibway Peak > Northwest Region > Montana",https://www.mountainproject.com/route/113658297/charles-wallace-the-party-rabbit,3.3,-1,"Sport, Alpine",5.9+,2,250,48.06487,-115.62147
"High Hopes","The Point > Kawakawa Bay > Lake Taupo > North Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/107699465/high-hopes,3.3,-1,Sport,5.8,2,150,-38.6619,175.86571
"Tears of a Clown","Tears of a Clown > North Fork Teton River Canyon > Northwest Region > Montana",https://www.mountainproject.com/route/112857487/tears-of-a-clown,3.3,-1,Sport,5.7,5,500,47.88424,-112.71728
"Fire & Rain","07. American Beauty > Mortal Earth > The Fins > Central Idaho > Idaho",https://www.mountainproject.com/route/114446568/fire-rain,3.3,-1,Sport,5.8,2,150,43.72106,-113.07745
"The Thrill of Krell","West Face > Big Rock > Rocks of Sharon > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/108238314/the-thrill-of-krell,3.1,-1,Sport,5.10a/b,2,,47.57828,-117.28614
Scarecrow,"Wall of the Dancing Dwarfs > Munchkinland Area > 6 - Mid-Mountain > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/107904390/scarecrow,2.5,-1,Sport,5.10-,2,155,32.38886,-110.71688
Saphir,"La Saphir > Calanque d'En-Vau > Calanques > France > Europe > International",https://www.mountainproject.com/route/108424951/saphir,3.3,-1,Sport,"5.8 PG13",5,400,43.20227,5.4982
"Sweet Avocado","Tsaranoro Valley > Madagascar > Africa > International",https://www.mountainproject.com/route/114353535/sweet-avocado,3.5,-1,Sport,5.8,6,1100,-22.09529,46.7659
"Finger Locking Good","Mammoth Crest > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/106648452/finger-locking-good,2.7,-1,"Trad, Sport, Alpine",5.8,2,250,37.60194,-119.03294
"Stepping Out","Sand Dunes > Island In The Sky > Snow Canyon State Park > Saint George > Utah",https://www.mountainproject.com/route/106615703/stepping-out,2.8,-1,"Trad, Sport",5.9,2,160,37.19133,-113.64333
Marie-Jacqueline,"Cap de Morgiou > Calanque de Morgiou > Calanques > France > Europe > International",https://www.mountainproject.com/route/107329559/marie-jacqueline,3.5,-1,Sport,5.8+,7,,43.213,5.443
"BAC Crack","Hole in the Wall > La Cueva Canyon, Upper > Sandia Mountains > Albuquerque Area > New Mexico",https://www.mountainproject.com/route/117026518/bac-crack,3.5,-1,"Trad, TR, Alpine",5.10a,2,120,35.2063,-106.452
"Metallic Gray","Super Hero Wall (Grey Wall) > Bat Cave Area > Caballo Lake > Truth or Consequences Area > New Mexico",https://www.mountainproject.com/route/106673827/metallic-gray,2.8,-1,Sport,5.9,3,190,32.93132,-107.23428
"Gang of Foreplay","Island in the Sky > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107246850/gang-of-foreplay,2.7,-1,"Trad, Sport",5.10a,2,100,49.70502,-123.14252
"Under My Skin","Nap Wall Area > Slick Rock Dome > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/111951727/under-my-skin,3.5,-1,Sport,5.7+,2,200,38.88127,-120.28982
"Fields of Fire","Shadow Rock > Bishop Peak > San Luis Obispo > Central Coast > California",https://www.mountainproject.com/route/105737378/fields-of-fire,2.4,-1,Sport,5.8,2,80,35.3037,-120.69618
BYOND,"Pontok 3 > The Pontoks > Spitzkoppe and Pontoks > Namibia > Africa > International",https://www.mountainproject.com/route/111848148/byond,3.5,-1,Sport,5.10a,7,1200,-21.8628,15.23732
Expressway,"Gomer Wall > Cedar Park > Okanagan > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/116848476/expressway,3.5,-1,Sport,5.9,3,255,49.77624,-119.53432
Galtigenturme,"Galtigenturme > Pilatus - Luzern > Switzerland > Europe > International",https://www.mountainproject.com/route/113712089/galtigenturme,3.5,-1,"Sport, Alpine",5.7,8,1000,38.79467,-98.79209
"Loud and Obnoxious","Dozier Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107709957/loud-and-obnoxious,2.6,-1,Sport,5.10a,3,500,37.84942,-119.43165
Grimselstrom,"Räterichsboden - Seeplatten > Grimsel > Switzerland > Europe > International",https://www.mountainproject.com/route/106522133/grimselstrom,3.5,-1,Sport,5.10-,11,1300,46.5829,8.3235
"Pilier Gris","Lans-en-Vercors > Vercors > Grenoble > Northern Alps > France > Europe > International",https://www.mountainproject.com/route/106739918/pilier-gris,3.5,-1,Sport,5.9,3,160,45.1255,5.6022
"Arete du vallon","Aiguille de Sugiton > Calanque de Sugiton > Calanques > France > Europe > International",https://www.mountainproject.com/route/116196959/arete-du-vallon,3.5,-1,Sport,5.7,4,500,43.2115,5.45169
"Le Grand Diedre Jaune","Le Cret-Saint-Michel > Calanque de Morgiou > Calanques > France > Europe > International",https://www.mountainproject.com/route/111934203/le-grand-diedre-jaune,3.5,-1,Sport,5.8,5,300,43.21629,5.44318
"La Grande Traversé du Bec","Le Bec de Sormiou > Calanque de Sormiou > Calanques > France > Europe > International",https://www.mountainproject.com/route/107342425/la-grande-traverse-du-bec,3.5,-1,Sport,5.9,10,,43.2102,5.4206
"Tough Animals","Dali Dome > Christmas Tree Pass > Southern Nevada > Nevada",https://www.mountainproject.com/route/106667761/tough-animals,3.5,-1,Sport,"5.9+ PG13",2,100,35.24816,-114.71166
"Sólidas Illusōes","Capacete > Salinas / Três Picos > Rio de Janeiro > Brazil > South America > International",https://www.mountainproject.com/route/111903050/solidas-illusoes,3.5,-1,Sport,5.8+,11,1500,-22.33888,-42.72446
"Southwest Pillar 5b","Dammazwillinge > Albert Heim > Switzerland > Europe > International",https://www.mountainproject.com/route/107418007/southwest-pillar-5b,3.5,-1,"Trad, Sport",5.8,7,650,46.6202,8.4329
"Chemin De Kamadjan","L'arche de Kamadjan (The Kamadjan Arch) > Siby > Bamako > Mali > Africa > International",https://www.mountainproject.com/route/106641575/chemin-de-kamadjan,3.5,-1,Sport,5.10-,3,250,17.7905,-1.7578
"Fly Me to the Moon","Eye Cave (Yan Jing Dong) > Fumin Canyon > Kunming Area > Yunnan Province > China > Asia > International",https://www.mountainproject.com/route/106122641/fly-me-to-the-moon,3.5,-1,Sport,5.9,5,550,25.19444,102.46453
"The Links Effect","Kookmeyers > Castle Rock > Coromandel > North Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/108174183/the-links-effect,3.5,-1,Sport,5.10a,3,,-36.7756,175.5322
Spasspartout,"Vorbau > Wendenstöcke > Switzerland > Europe > International",https://www.mountainproject.com/route/110854104/spasspartout,3.5,-1,"Sport, Alpine",5.10a,8,720,46.76357,8.40253
"South Ridge","Pedra de Cumbira > Conda Region (Serra de N'gelo) > Angola > Africa > International",https://www.mountainproject.com/route/109458099/south-ridge,3.5,-1,Sport,5.8+,6,1000,-11.20924,14.33458
"La Pulce","Settore Centrale > Monte Cucco > Finale Ligure > Liguria region > Italy > Europe > International",https://www.mountainproject.com/route/107497502/la-pulce,3.5,-1,Sport,5.9+,3,260,44.214,8.3327
"Bravo Lapp","Salvan > Switzerland > Europe > International",https://www.mountainproject.com/route/118902024/bravo-lapp,3.5,-1,Sport,5.9,10,,46.12272,7.01954
Flintstone,"West Face > East Cottage Dome (aka Erratic Dome) > Cottage Domes > Daff Area > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107305814/flintstone,2.6,-1,"Sport, Alpine",5.10a/b,2,180,37.8846,-119.40825
Conception,"Comatose Area > Rumbling Bald > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/108032861/conception,2.7,-1,"Trad, Sport",5.8,2,210,35.44983,-82.21444
Brambillandia,"Ventana Sur Altos > Cerro Ventana Sur > San Carlos de Bariloche > Rio Negro > Argentina > South America > International",https://www.mountainproject.com/route/116204861/brambillandia,3.1,-1,Sport,"5.9 PG13",10,800,-41.19191,-71.38921
"Family Values","Family Values > The Falls Walls > Telluride/Norwood area > Colorado",https://www.mountainproject.com/route/105983537/family-values,3.0,-1,Sport,5.7,4,300,37.9199,-107.7758
"Fire on the Mountain","The Thinking Spot > McCall Area > West Idaho > Idaho",https://www.mountainproject.com/route/110891878/fire-on-the-mountain,2.9,-1,Sport,5.10a,2,141,45.00345,-116.05926
"Keep the Jam Man","Diamond Cave > Railay East > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/106057993/keep-the-jam-man,2.4,-1,Sport,5.10a/b,2,100,8.01416,98.84197
Slasher,"Razor Back > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106906284/slasher,2.9,-1,"Trad, Sport",5.9,3,300,37.87303,-119.40109
"Jolly Rancher (aka Carrion's Delight)","Eagle Rock Grove > East Sector > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/110459313/jolly-rancher-aka-carrions-delight,2.9,-1,Sport,5.10a,2,150,42.13564,-113.66251
Lightsaber,"Christian Brothers - East Side > (l) Christian Brothers > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/112057988/lightsaber,3.1,-1,Sport,5.10a,2,60,44.36598,-121.14688
"B Bro","Bracksiek's Pillar > South Hills > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/108087646/b-bro,3.1,-1,"Trad, Sport",5.9,3,250,42.13496,-113.67163
M.U.,"Meyers Multipitch > Meyers Area > South Shore > Lake Tahoe > California",https://www.mountainproject.com/route/113186180/mu,2.7,-1,Sport,5.9,3,300,38.84175,-120.04551
"Cobbles 101","South Face > Pinto Rock > Southwest Cascades > Washington",https://www.mountainproject.com/route/110852598/cobbles-101,2.7,-1,"Sport, Alpine",5.7,5,430,46.32649,-121.92365
"Not Wizard's Gate","Lower Great Face > The Crags > CO Hwy 7 & Tributaries > Estes Park Valley > Colorado",https://www.mountainproject.com/route/117651413/not-wizards-gate,3.3,-1,Sport,5.7+,3,350,40.3034,-105.5227
Stromberg,"6. Gorro Frigi > Gorros > Montserrat > Catalonia > Spain > Europe > International",https://www.mountainproject.com/route/108190281/stromberg,3.1,-1,Sport,5.9,5,450,41.58999,1.8259
Hotshot,"The Ravens > 8 - Summit Crags > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105840293/hotshot,2.3,-1,Sport,5.8+,3,250,32.4334,-110.7971
"Blue Line","Suiza > Escalera Arabe > El Chorro > Andalucia > Spain > Europe > International",https://www.mountainproject.com/route/118134818/blue-line,3.3,-1,Sport,5.9-,12,1000,36.9085,-4.7603
"Feather Canyon","High Peaks > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/106583219/feather-canyon,2.8,-1,"Trad, Sport","5.8 PG13",9,1000,36.4895,-121.1979
"Rookie of the Year/An All Star","Training Camp > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106131738/rookie-of-the-yearan-all-star,3.0,-1,Sport,5.10a,2,140,40.2666,-111.6273
"Cheese Grater","Take it for Granite > Mt. Cory > Banff National Park > Alberta > Canada > North America > International",https://www.mountainproject.com/route/111867128/cheese-grater,3.2,-1,Sport,5.8,4,350,51.1768,-115.6965
"Matt's Line (AKA: Left Of El Cautivo)","Out-of-Towners Dome > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/106085543/matts-line-aka-left-of-el-cautivo,2.8,-1,Sport,5.9,3,420,31.9436,-109.97141
"2 Stroke Tantrum","Quiet Earth Wall > Castle Rock > Coromandel > North Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/111078686/2-stroke-tantrum,3.3,-1,Sport,5.10a,4,400,-36.7756,175.5322
Uplift,"Main Wall - North Face > Blackleaf Canyon > Northwest Region > Montana",https://www.mountainproject.com/route/106447515/uplift,3.3,-1,"Trad, Sport",5.10a/b,6,550,48.0184,-112.7131
Rightist,"Tanner Dome > Oak Creek Canyon > The Wet Mountains > Colorado",https://www.mountainproject.com/route/107339625/rightist,2.7,-1,Sport,5.10a,2,180,38.30838,-105.26009
L'Hypothénuse,"Al'Legne > Rocher de Freÿr > Meuse River Valley > Belgium > Europe > International",https://www.mountainproject.com/route/107432355/lhypothenuse,3.3,-1,"Sport, Aid","5.7 A0",5,350,50.2235,4.8934
"Une arête dans la gorge","Arrete nord > Todra Gorge > Morocco > Africa > International",https://www.mountainproject.com/route/112140784/une-arete-dans-la-gorge,3.3,-1,Sport,5.9+,12,1800,31.58845,-5.59553
Hollywood,"Main Wall > Chickies Rock > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107273680/hollywood,2.8,-1,"Trad, TR",5.7,2,160,40.05153,-76.52507
"The first of Ela","Paroi du Levant > Todra Gorge > Morocco > Africa > International",https://www.mountainproject.com/route/112056722/the-first-of-ela,3.3,-1,"Sport, Boulder","5.9 V1",5,650,31.57987,-5.59387
"La Gymnastique de la Gélinotte","c. Mur des 5.10 > Lac Gervais > Laurentians > Quebec > Canada > North America > International",https://www.mountainproject.com/route/108935609/la-gymnastique-de-la-gelinotte,3.3,-1,Sport,5.9-,2,125,46.26771,-74.68834
"Black Systems Solar","East Face > Keechelus Ridge > Snoqualmie Pass Area > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117620826/black-systems-solar,3.3,-1,"Sport, Alpine",5.9,2,130,47.36249,-121.31546
"The Monkey King","Low Mountain > YangShuo > Guangxi Province > China > Asia > International",https://www.mountainproject.com/route/107088031/the-monkey-king,3.3,-1,Sport,5.10a,5,320,24.7356,110.499
